Timestamp start: 1684600372478
Timestamp end: 1684602172894

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      364.8   266.0    80.4   141.0   159.7   326.0   407.5   454.6   490.4   537.2   598.2   704.2  1107.1  1839.4  8745.6  46167.6    46224
read      343.6   258.5    80.4   138.7   156.8   301.1   380.4   427.1   462.3   505.8   568.2   669.3   926.1  2869.6  8046.1  84558.0    84587
read      357.4   267.1    80.4   140.1   158.2   316.5   400.5   448.5   484.1   529.1   590.0   693.8   991.0  2133.8 10072.7  63223.2    63389
read      375.3   267.2    80.4   145.1   164.6   336.9   422.5   470.0   506.8   554.6   618.3   720.7  1061.5  1985.5  8789.5  47023.7    46953
read      342.0   246.0    80.4   140.4   158.9   301.2   378.6   424.5   459.1   502.0   562.8   663.9   909.8  2661.6  7766.8  90500.5    90536
read      416.3   328.8    86.8   151.4   175.5   378.0   467.3   528.0   572.0   621.0   679.6   763.3   926.3  4267.0 12360.9  12540.0    12508
read      397.1   313.1    80.4   146.8   167.7   347.0   432.7   483.4   523.5   576.5   652.7   805.3  1346.2  2165.4  9411.5  38466.6    38491
read      334.4   232.4    80.4   139.9   158.5   296.6   371.4   416.0   449.8   491.5   547.6   642.9   864.0  2097.7  7976.3  97724.4    97806
read      405.3   294.8    86.8   152.3   178.1   372.7   458.3   510.7   550.7   593.5   649.2   731.7   886.5  3822.5 10571.7  11834.4    11813
read      400.6   312.6    80.4   145.2   166.3   347.9   434.8   486.8   528.1   581.7   659.3   821.9  1418.2  1996.9 11601.1  39637.2    39665
read      375.9   264.3    80.4   142.6   162.2   335.9   421.1   470.1   507.8   557.6   622.4   730.1  1092.8  2119.5  8228.0  53499.6    53571
read      357.6   246.9    80.4   140.0   157.9   317.1   400.8   449.1   485.4   531.6   593.2   696.0   997.4  2103.6  8024.1  63202.5    63215
read      348.5   235.4    74.4   138.9   156.9   306.3   389.4   436.7   471.8   516.8   580.3   684.4   944.4  2502.8  7954.7  78788.6    78767
read      390.7   328.4    93.8   162.8   193.7   356.3   428.8   471.9   505.0   545.3   593.5   671.3   833.7  4271.8 12426.8   8578.2     8615
read      361.7   275.5    74.4   139.6   157.8   312.4   397.5   446.9   484.2   532.6   596.1   713.9  1251.8  2351.3  8614.2  67893.4    67903
read      421.1   308.0    86.8   147.1   168.3   383.2   481.9   547.8   594.7   652.2   717.6   807.5   982.0  3408.4 11280.8  16297.0    16398
read      370.2   283.0    80.4   141.5   160.4   323.8   408.4   458.3   495.9   543.6   609.0   728.3  1294.5  2130.5  8531.0  53379.6    53434
read      369.6   283.0    80.4   143.7   163.0   334.6   417.1   463.5   499.7   545.2   603.3   696.5   985.0  2174.5 11854.7  38060.3    38068
read      412.6   350.1    86.8   160.7   191.4   375.6   458.7   507.7   546.3   587.6   641.0   715.3   882.1  4511.8 12899.6   9169.9     9130
read      363.7   286.4    80.4   139.1   157.1   310.5   396.6   446.9   485.6   535.3   604.8   728.8  1334.7  2524.6  8138.6  69049.1    69227
